,0,1,label
0,오늘 밤은 아주 잔잔하잖아,이별,9
1,별 아래서 우린 장난치잖아,환상,3
2,나의 발에 올라 춤을 출까 아님 여기 누워 꿈을 꿀까 아니 넌 술을 마시니까 취한 너와 사랑 얘기를 나눌까 오늘 우린 어디까지 가 이 밤의 끝은 어디까지 일까 작은 별 무대 위에서 너와 난 손끝을 잡고 춤을 춰 누구도 없는 이 밤 너와 함께 하는 이 밤이 쭉 빛났으면 해 Yeah tonight I’ll be with you 해가 다시 뜨기 전까지 Baby I’m so bad bad bad bad bad bad Comin’ to my bed bed bed bed bed bed bed bed 태양이 저물다 너를 비추고 떠나 별을 조명 삼아 너의 얼굴을 그려 가 오늘 밤 일기는 참 길 것 같아 너와 할거니 까 하고 싶은 걸 다 너의 밤 나의 밤이 하늘이 되고 우린 각자 하나의 별이 돼 내 빛은 반짝여 널 위해 오늘은 가장 긴 밤 이래 yeah 너랑 있는 이 밤이 작은 별 무대 위에서 너와 난 손끝을 잡고 춤을 춰 누구도 없는 이 밤 너와 함께 하는 이 밤이 쭉 빛났으면 해 Yeah tonight I’ll be with you 해가 다시 뜨기 전까지 Baby I’m so bad bad bad badbad badComin’ to my bed bed bed bedbed bed bed bed,짜증,10
3,내 어제와 내일 아니 오늘준비된 미소 같아 언제나 내 시선은 YouOh 모르겠어 걸어갈 때 우리 둘 옷깃이 스칠 때 손잡을까,짜증,10
4,하는데 음 왜 안돼 그때 입술 언저리만 넘기면 돼 우아하게 만들게 우리가 돼 연인이란 게 첨 느끼는 것 babe 널 떠올려 애태우는 건 너 밤은 깊어도 헤어질 말은 안 꺼내,이별,9
5,왜 안돼 그때 입술 언저리만 넘기면 돼 우아하게 만들게 우리가 돼 연인이란 게 우리 둘이 우아 Woo-Ah Woo-Ah 우리 둘이 우아 Woo-Ah Woo-Ah 우리 둘이 우아 Woo-Ah Woo-Ah 우리 둘이 우아 Woo-Ah Woo-AhUhm 먼저 그때 두 눈 꼭 감고 집 가는 차문이 열리 때 잘 가라며 네 볼에 입맞춤을 서로 아무 말 못하고 당황하는 게 그때 시작이야 왜 안돼 그때 입술 언저리만 넘기면 돼 우아하게 만들게 우리가 돼 연인이란 게 우리 둘이 우아 Woo-Ah Woo-Ah 우리 둘이 우아 Woo-Ah Woo-Ah 우리 둘이 우아 Woo-Ah Woo-Ah 우리 둘이 우아 Woo-Ah Woo-Ah,승리,6
6,귀 아래 귀 귀 아래 귀 아래 that's how I'llget it started yeah 귀 아래 귀 귀 아래 귀 아래 come herethat's how I'll get it startedGirl 하루종일 이 시간만 기다렸어 기다렸어 내일 아침 일이 있지만 난 상관 없어 상관 없어 난 폰을 끌래,활력,12
7,I'll turn it off 내게 말해 줄래,짜증,10
8,what you wantGirl you can use meany way you want 하인처럼 다 해 줄 수 있어 let's get started withstarted with 귀 아래 귀 귀 아래 귀 아래 that's how I'llget it started 귀 아래 귀 귀 아래 귀 아래 that's how I'llget it startedSometimes you like it fastsometimes you like it slow 내 혀 내 손 또 내 ** 가지고 whatever you want 널 위한 도구로 봐도 돼 when it comes to sexgirl you know that I don't play 느린 걸 원하면 느리게 빠른 게 좋다면 I'll do it fastGirl you can use meany way you want 하인처럼 다 해 줄 수 있어 let's get started withstarted with 귀 아래 귀 귀 아래 귀 아래 that's how I'llget it started 귀 아래 귀 귀 아래 귀 아래 girl I'm gonmake you sing 우 우 우 우 우 and I'll make you sing 우 우 우 우 우 man just dive inplease elevate me 굳이 위 귀 아래부터 시식할 필요 꼭 없지 cuz I'm starving 그냥 내가 시키는 대로만 해 there's no versus so let'sskip the fuckin' verses 훅 그냥 들어와 man 어서 내게 다이 빙 해 착하지 my baby 다른 애들에 비해 내가 조금 사이비 해 이제 위 아래 좀 더 위 위 위 아래 좀 더 위 위아래 위 아래 위 귀 아래 귀 귀 아래 귀 아래 that's how I'llget it started 귀 아래 귀 귀 아래 귀 아래 baby let megive it to you 아래 아래 아래 that's how I'll get it startedstarted started 귀 아래 아래 아래 that's how I'll get it startedstarted started 귀 아래 귀 귀 아래 귀 아래 that's how I'llget it started 귀 아래 귀 귀 아래 귀 아래 that's how I'llget it started,활력,12
9,갈 때 가라고 가면 좋겠네,승리,6
